assists,bonus,bps,clean_sheets,creativity,dreamteam_count,goals_scored,ict_index,id,influence,minutes,points_per_game,red_cards,selected_by_percent,team,threat,total_points,transfers_in,transfers_out,yellow_cards,prices
0,1,160,2,9,0,1,37.6,334,251,1255,1.7,1,0.1,14,116,30,19342,20131,4,4.5
0,6,376,5,91.3,0,0,67.5,323,522,2080,2.2,0,0.6,14,64,53,114157,180259,4,4.5
2,8,303,7,220.8,2,0,57.6,266,248.6,1182,3.1,0,0.7,12,106,65,73976,121640,6,5
0,0,104,1,61.7,0,0,17.9,505,102.6,618,1.5,0,0.1,20,13,19,27818,44182,2,4.5
0,0,8,0,0.1,0,0,2.7,121,26.6,45,0,0,0.2,5,0,0,8098,27327,0,4
0,0,0,0,0,0,0,0,237,0,0,0,0,0,9,0,0,296,5037,0,4
0,0,0,0,0,0,0,0,327,0,0,0,0,0,14,0,0,382,2738,0,4
0,0,0,0,0,0,0,0,47,0,0,0,0,0.1,2,0,0,2055,10208,0,4
0,0,0,0,0,0,0,0,637,0,0,0,0,0,19,0,0,3709,2184,0,4
0,7,385,6,51,1,2,74.9,494,464.8,1996,3.4,1,4.6,1,233,78,1061292,1202841,2,5
0,1,30,1,0.9,0,0,3.6,685,17.2,113,4,0,0,10,18,8,1280,413,0,4
1,6,308,4,90.1,1,1,65.7,125,406.2,1800,2.6,0,0.2,6,157,53,37176,30784,3,5
2,8,632,13,133.6,1,2,126.3,298,701.4,3047,3.6,0,4.3,13,428,124,830414,848747,11,5.5
3,17,421,7,351.8,3,1,94.7,11,362.8,2089,3.8,0,3.5,1,232,94,1050959,1190364,8,5
0,0,0,0,0,0,0,0,649,0,0,0,0,0,20,0,0,2522,1601,0,4
0,1,234,2,17.4,1,2,44.3,451,375.6,1379,2.3,0,0.6,19,48,42,49272,116025,3,4.5
0,6,288,4,85.6,1,0,54.2,367,351,1537,2.3,0,0.2,16,104,41,33971,55453,2,4.5
0,0,5,0,14.8,0,0,1.7,380,1.8,66,1,0,0.8,16,0,1,77272,122779,0,4
0,3,229,2,38.1,0,2,54.7,328,345.2,1625,2.3,0,0.8,14,161,44,212271,402533,4,4.5
0,0,0,0,0,0,0,0,669,0,0,0,0,0,19,0,0,1072,739,0,4
1,3,261,3,224.8,1,0,54.2,513,272.6,1833,1.8,0,1.1,14,47,44,446207,507978,4,4.5
0,0,0,0,0,0,0,0,43,0,0,0,0,0,2,0,0,9840,10323,0,4
