assists,bonus,bps,creativity,dreamteam_count,goals_scored,ict_index,id,influence,minutes,points_per_game,red_cards,selected_by_percent,team,threat,total_points,transfers_in,transfers_out,yellow_cards,prices
1,7,148,96.2,0,4,55,460,177.4,824,4.3,0,4.4,20,275,43,1160501,2220242,0,7.5
6,18,415,359.7,1,7,208.3,166,576.4,2862,3.6,1,7.1,7,1147,123,1760049,1969328,4,7.5
8,15,615,643.2,2,9,278.8,249,729.4,2837,3.9,0,5.7,11,1415,141,1278572,1209765,2,9
4,16,341,409.7,3,7,142.4,492,398.4,1279,3.4,0,2.7,10,617,89,473575,832303,3,6.5
0,0,0,0,0,0,0,692,0,0,0,0,0,10,0,0,1475,726,0,4
0,4,113,131.6,0,3,66.2,441,169.6,932,2.6,0,0.2,19,361,41,60525,94479,0,5
1,3,155,102.2,0,4,62.2,268,200.6,554,3.2,0,1.6,12,326,38,406215,574721,0,9
0,0,21,6.4,0,0,3.4,361,9.8,201,1.1,0,0.4,16,19,12,57958,135320,0,4
2,8,224,121.6,1,6,86.6,118,277.2,1031,3.1,0,2,5,483,69,589795,784328,0,6.5
12,7,394,532.4,2,6,232.5,117,514.8,2598,3.7,0,10.8,5,1276,128,2079800,4521382,2,9
0,0,11,1.1,0,0,2.3,48,5,15,1,0,0,2,17,3,2651,2640,0,4
1,3,131,165.9,0,1,50.9,642,89.6,1106,2.4,0,0.2,20,256,40,81283,69643,0,5
0,0,0,0,0,0,0,341,0,0,0,0,0.1,14,0,0,5738,27356,0,4
