name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Dale Stephens,MID,Burnley,0,0,0,0,0,0,102,2,0,0,0,0,2021-08-14T14:00:00Z,0,4,0,0,0,0,1,0,1674,2,1,0,0,0,0,0,45,TRUE,0,1
James Rodríguez,MID,Everton,0,0,0,0,0,0,166,4,0,0,0,0,2021-08-14T14:00:00Z,0,16,0,0,0,0,1,0,139782,1,3,0,0,0,0,0,70,TRUE,0,1
Raphael Dias Belloli,MID,Leeds,1.8,0,0,9,0,19.4,196,6,5,0,4.7,11.6,2021-08-14T11:30:00Z,90,13,0,0,0,0,1,0,1238151,1,5,16,1,0,0,0,65,FALSE,1,1
Rúben Diogo da Silva Neves,MID,Wolves,1.4,0,0,14,0,31.2,436,5,1,0,4.5,12.8,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,0,107318,0,1,1,2,0,0,0,55,FALSE,0,1
Mateo Kovacic,MID,Chelsea,1.9,1,0,24,1,28.5,125,3,0,0,5.7,24.6,2021-08-14T14:00:00Z,90,7,0,0,0,0,1,0,17075,0,3,4,6,0,0,0,50,TRUE,0,1
Conor Gallagher,MID,Crystal Palace,0,0,0,0,0,0,144,3,0,0,0,0,2021-08-14T14:00:00Z,0,6,0,0,0,0,1,0,2134,0,3,0,0,0,0,0,55,FALSE,0,1
Crysencio Summerville,MID,Leeds,0.5,0,0,0,0,0,551,6,0,0,0,0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,0,1,5,0,0,0,0,0,45,FALSE,0,1
Harry Winks,MID,Spurs,0.5,0,0,0,0,0,366,10,0,0,0,0,2021-08-15T15:30:00Z,0,12,0,0,0,0,1,0,74300,0,1,0,0,0,0,0,45,TRUE,0,1
Davy Pröpper,MID,Brighton,0,0,0,0,0,0,57,2,0,0,0,0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,107,2,1,0,0,0,0,0,45,FALSE,0,1
Dan Gosling,MID,Watford,0.9,0,0,3,0,0.3,378,8,2,0,0.3,2.6,2021-08-14T14:00:00Z,21,2,0,0,0,0,1,0,4874,2,3,0,1,0,0,0,50,TRUE,0,1
Saïd Benrahma,MID,West Ham,3.1,1,2,39,0,15,419,9,2,1,12.8,52.6,2021-08-15T13:00:00Z,87,14,0,0,0,0,1,0,420297,4,2,60,12,0,0,0,60,FALSE,0,1
Demarai Gray,MID,Everton,1.9,0,0,10,0,16.8,484,4,1,0,3,10.8,2021-08-14T14:00:00Z,82,16,0,0,0,0,1,0,27308,1,3,2,2,0,0,0,55,TRUE,0,1
Philip Zinckernagel,MID,Watford,0,0,0,0,0,0,392,8,0,0,0,0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,744,2,3,0,0,0,0,0,55,TRUE,0,1
Douglas Luiz Soares de Paulo,MID,Aston Villa,0,0,0,0,0,0,50,8,0,0,0,0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,72328,2,3,0,0,0,0,0,45,FALSE,0,1
Sergi Canós,MID,Brentford,0.9,0,3,33,1,14.8,81,1,0,1,11,60.2,2021-08-13T19:00:00Z,90,1,0,0,0,0,1,0,15606,0,2,35,11,0,0,0,55,TRUE,0,1
Przemyslaw Placheta,MID,Norwich,0,0,0,0,0,0,328,7,0,0,0,0,2021-08-14T16:30:00Z,0,11,0,0,0,0,1,0,1551,3,0,0,0,0,0,0,50,TRUE,0,1
Stuart Armstrong,MID,Southampton,2.1,0,0,0,0,0,339,4,0,0,0,0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,29374,1,3,0,0,0,0,0,60,FALSE,0,1
Ismaila Sarr,MID,Watford,1.6,0,2,30,0,46.1,399,8,2,1,13.9,48.4,2021-08-14T14:00:00Z,90,2,0,0,0,0,1,0,192715,2,3,44,9,0,0,0,60,TRUE,0,1
