name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Ezri Konsa Ngoyo,DEF,Aston Villa,3.5,0,0,7,0,0,45,21,1,0,1.5,9.4,2021-08-28T14:00:00Z,88,3,0,0,0,0,3,0,77856,1,1,6,2,-1592,4713,6305,50,TRUE,0,3
Christian Marques,DEF,Wolves,-0.5,0,0,0,0,0,549,30,0,0,0,0,2021-08-29T15:30:00Z,0,13,0,0,0,0,3,0,24140,1,0,0,0,4228,7113,2885,40,TRUE,0,3
Nathan Aké,DEF,Man City,1.2,0,0,0,0,0,258,24,0,0,0,0,2021-08-28T11:30:00Z,0,1,0,0,0,0,3,0,36150,0,5,0,0,-8150,2617,10767,50,TRUE,0,3
Jonjoe Kenny,DEF,Everton,0,0,0,0,0,0,502,22,0,0,0,0,2021-08-28T14:00:00Z,0,4,0,0,0,0,3,0,5781,2,0,0,0,-590,304,894,45,FALSE,0,3
Angelo Ogbonna,DEF,West Ham,1.8,0,0,12,0,0.8,409,28,2,0,1.1,7.8,2021-08-28T14:00:00Z,90,7,0,0,0,0,3,0,14331,2,2,2,1,1568,2891,1323,50,TRUE,0,3
Rob Holding,DEF,Arsenal,-0.5,0,0,17,0,0.2,14,24,5,0,3.6,36,2021-08-28T11:30:00Z,90,12,0,0,0,0,3,0,103894,0,5,0,0,-21176,3519,24695,44,FALSE,0,3
Seamus Coleman,DEF,Everton,4,1,1,30,1,1.3,165,22,0,0,1.2,6.8,2021-08-28T14:00:00Z,90,4,0,0,0,0,3,0,49854,2,0,4,10,-4426,4691,9117,50,FALSE,0,3
Sergio Reguilón,DEF,Spurs,8.3,0,3,31,1,17.4,370,27,0,0,4.1,13.8,2021-08-29T13:00:00Z,90,18,0,0,0,0,3,0,585442,0,1,10,9,204205,242277,38072,51,TRUE,0,3
Timothy Castagne,DEF,Leicester,1.7,0,0,9,0,1.8,209,26,1,0,0.9,7,2021-08-28T14:00:00Z,79,15,0,0,0,0,3,0,61318,2,1,0,2,-6115,2948,9063,54,FALSE,0,3
Joachim Andersen,DEF,Crystal Palace,1.8,0,0,16,0,24.7,488,28,2,0,5.7,25.8,2021-08-28T14:00:00Z,90,19,0,0,0,0,3,0,34896,2,2,6,1,-1441,1510,2951,45,FALSE,0,3
Yerson Mosquera Valdelamar,DEF,Wolves,-0.4,0,0,0,0,0,446,30,0,0,0,0,2021-08-29T15:30:00Z,0,13,0,0,0,0,3,0,1790,1,0,0,0,-251,40,291,45,TRUE,0,3
Tyrick Mitchell,DEF,Crystal Palace,2.2,0,0,12,0,15.1,162,28,2,0,3.3,16.2,2021-08-28T14:00:00Z,90,19,0,0,0,0,3,0,48034,2,2,2,1,-3251,3391,6642,45,FALSE,0,3
Andreas Christensen,DEF,Chelsea,5,0,0,16,0,0.3,133,23,1,0,2.2,22,2021-08-28T16:30:00Z,90,11,0,0,0,0,3,0,129519,1,1,0,2,19640,35495,15855,50,FALSE,0,3
Victor Lindelöf,DEF,Man Utd,2.8,0,0,0,0,0,284,30,0,0,0,0,2021-08-29T15:30:00Z,0,20,0,0,0,0,3,0,61246,1,0,0,0,-2870,4582,7452,50,FALSE,0,3
Jannik Vestergaard,DEF,Leicester,0,0,0,0,0,0,340,26,0,0,0,0,2021-08-28T14:00:00Z,0,15,0,0,0,0,3,0,79661,2,1,0,0,-28654,2444,31098,50,FALSE,0,3
Javier Manquillo,DEF,Newcastle,-0.5,0,0,0,0,0,302,25,0,0,0,0,2021-08-28T14:00:00Z,0,16,0,0,0,0,3,0,623565,2,2,0,0,-59059,12612,71671,40,TRUE,0,3
