assists,bonus,bps,creativity,dreamteam_count,goals_scored,ict_index,id,influence,minutes,points_per_game,red_cards,selected_by_percent,team,threat,total_points,transfers_in,transfers_out,yellow_cards,prices
0,0,3,0.3,0,0,0.2,602,0,3,1,0,0,14,2,1,4028,3709,0,4
5,3,308,385.1,1,2,88.1,23,273.2,1438,3.7,0,3.5,1,222,74,759912,493705,0,5.5
1,0,96,137.1,0,1,48.4,387,115.2,700,1.2,1,0.1,17,236,28,15142,25083,4,6
0,0,48,29.8,0,0,6.8,149,37,260,1,0,0,7,1,8,2872,5526,1,4
2,2,421,106.8,0,0,64.6,253,460.4,2566,2.4,0,0.9,11,75,71,119250,188088,6,5.5
0,0,0,0,0,0,0,575,0,0,0,0,0,13,0,0,1125,1251,0,4
0,0,0,0,0,0,0,605,0,0,0,0,0,5,0,0,916,758,0,4
0,0,8,0.4,0,0,0.5,440,2.4,2,1,0,0.1,19,2,2,4675,35412,0,4
0,0,0,0,0,0,0,609,0,0,0,0,0,12,0,0,394,362,0,4
4,4,265,276.4,1,7,117,287,352.2,1297,4,0,3.6,12,543,95,534680,344667,1,7
0,1,404,395.6,0,1,108,299,482.6,2389,2.3,0,0.2,13,200,69,34222,36775,5,5
1,0,107,133.8,0,2,57.5,26,142.6,582,2.6,0,0.3,1,300,36,118159,102890,0,5.5
3,16,366,306.5,4,11,136.4,543,550.8,912,5.7,0,4.2,17,507,113,1717954,1399144,1,9
0,0,0,0,0,0,0,401,0,0,0,0,0.1,17,0,0,3097,8462,0,4
1,3,482,387,0,2,105.1,243,358.2,2938,2.6,0,1.2,11,307,97,180202,251629,1,8
1,0,149,222.8,0,1,54.3,403,169.2,939,1.9,0,0.4,17,155,35,16184,48901,5,6
2,1,396,327.6,0,1,94,9,456,2519,2.3,1,0.4,1,154,70,46739,85752,7,5
5,13,443,644.2,3,6,168.8,150,530.6,2244,3.4,0,2.9,7,510,122,568764,467711,2,7
