assists,bonus,bps,clean_sheets,corners_and_indirect_freekicks_order,creativity,creativity_rank,direct_freekicks_order,dreamteam_count,first_name,second_name,element_type,goals_scored,ict_index,ict_index_rank,id,influence,influence_rank,minutes,penalties_missed,penalties_order,points_per_game,red_cards,saves,selected_by_percent,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_out,yellow_cards,prices
2,12,518,13,0,413.3,81,0,1,Cesar,Azpilicueta,DEF,1,107.9,124,102,502.2,128,2187,0,0,4.3,1,0,6.4,5,8,164,217,57,113,818667,871644,5,6
0,0,0,0,0,0,547,0,0,Charlie,Cresswell,DEF,0,0,577,620,0,568,0,0,0,0,0,0,0.1,10,2,0,524,211,0,12679,8180,0,4
2,5,451,8,0,248.5,166,0,0,Charlie,Taylor,DEF,0,79.5,203,97,494.4,135,2425,0,0,2.9,0,0,1.4,4,90,52,348,123,83,624199,864368,1,4.5
0,0,0,0,0,0,689,0,0,Chris,Smalling,DEF,0,0,698,292,0,695,0,0,0,0,0,0,0.1,13,1,0,685,242,0,1911,12302,0,4
0,2,112,3,0,33.9,360,3,0,Christian,Fuchs,DEF,0,19.2,386,218,137,345,701,0,0,2.7,0,0,0.2,9,13,22,387,145,24,45484,44838,4,4
0,0,0,0,0,0,502,0,0,Christian,Marques,DEF,0,0,535,616,0,526,0,0,0,0,0,0,0.1,20,39,0,478,186,0,15313,8461,0,4
0,2,291,3,0,29.8,372,0,0,Ciaran,Clark,DEF,1,53.9,280,324,402.6,186,1890,0,0,2.1,0,0,0.2,14,4,105,279,88,46,71180,65488,3,4.5
0,0,0,0,0,0,529,0,0,Cody,Drameh,DEF,0,0,559,694,0,550,0,0,0,0,0,0,0,10,2,0,506,197,0,160,94,0,4
0,7,606,10,0,40.1,351,0,0,Conor,Coady,DEF,1,82,199,459,692.2,51,3303,0,0,2.9,0,0,6.3,20,39,85,304,100,106,798453,959609,5,4.5
0,3,336,7,0,30.2,369,0,2,Craig,Dawson,DEF,3,68.4,237,576,433.6,174,1925,0,0,3.4,1,0,0.9,19,21,219,178,37,75,193887,125129,3,5
0,1,330,6,0,183.1,202,0,0,Dan,Burn,DEF,1,78.2,208,61,389,189,2057,0,0,2.4,0,0,0.7,3,36,214,180,39,64,103330,104391,5,4.5
0,2,121,0,0,10.9,416,0,0,Daniel,Amartey,DEF,1,22.7,373,227,155,331,718,0,0,1.7,0,0,1.2,9,13,61,339,118,19,183417,204986,3,4
0,0,0,0,0,0,661,0,0,Danny,Rose,DEF,0,0,673,384,0,670,0,0,0,0,0,0,0.1,17,6,0,652,233,0,3535,26927,0,4
